path	domain_tag	asset_type	fill	types
floor_plan_analysis.layout_features	images_assets	floor_plan	7/300	object
floor_plan_analysis.layout_features.flow_description	images_assets	floor_plan	7/300	str
floor_plan_analysis.layout_features.highlights	images_assets	floor_plan	7/300	array[str]
floor_plan_analysis.layout_features.open_plan	images_assets	floor_plan	7/300	bool
floor_plan_analysis.layout_features.split_level	images_assets	floor_plan	7/300	bool
floor_plan_analysis.levels	images_assets	floor_plan	7/300	object
floor_plan_analysis.levels.level_details	images_assets	floor_plan	7/300	array[object]
floor_plan_analysis.levels.level_details[].floor_area	physical_attributes		7/300	object
floor_plan_analysis.levels.level_details[].floor_area.unit	physical_attributes		7/300	null/str
floor_plan_analysis.levels.level_details[].floor_area.value	physical_attributes		7/300	int/null
floor_plan_analysis.levels.level_details[].level_name	images_assets	floor_plan	7/300	str
floor_plan_analysis.levels.total_levels	images_assets	floor_plan	7/300	int
floor_plan_analysis.outdoor_spaces	images_assets	floor_plan	7/300	array[object]
floor_plan_analysis.outdoor_spaces[].dimensions	images_assets	floor_plan	7/300	object
floor_plan_analysis.outdoor_spaces[].dimensions.area	images_assets	floor_plan	7/300	float/int/null
floor_plan_analysis.outdoor_spaces[].dimensions.length	images_assets	floor_plan	7/300	float/null
floor_plan_analysis.outdoor_spaces[].dimensions.unit	images_assets	floor_plan	7/300	str
floor_plan_analysis.outdoor_spaces[].dimensions.width	images_assets	floor_plan	7/300	float/null
floor_plan_analysis.outdoor_spaces[].features	images_assets	floor_plan	7/300	array[str]
floor_plan_analysis.outdoor_spaces[].level	images_assets	floor_plan	7/300	str
floor_plan_analysis.outdoor_spaces[].type	images_assets	floor_plan	7/300	str
floor_plan_analysis.parking	physical_attributes		7/300	object
floor_plan_analysis.parking.carport_spaces	physical_attributes		7/300	int
floor_plan_analysis.parking.garage_spaces	physical_attributes		7/300	int
floor_plan_analysis.parking.garage_type	physical_attributes		7/300	str
floor_plan_analysis.parking.notes	physical_attributes		7/300	str
floor_plan_analysis.parking.total_spaces	physical_attributes		7/300	int
floor_plan_analysis.rooms	physical_attributes		7/300	array[object]
floor_plan_analysis.rooms[].dimensions	physical_attributes		7/300	object
floor_plan_analysis.rooms[].dimensions.area	physical_attributes		7/300	float/null
floor_plan_analysis.rooms[].dimensions.area_unit	physical_attributes		7/300	null/str
floor_plan_analysis.rooms[].dimensions.length	physical_attributes		7/300	float/null
floor_plan_analysis.rooms[].dimensions.unit	physical_attributes		7/300	null/str
floor_plan_analysis.rooms[].dimensions.width	physical_attributes		7/300	float/null
floor_plan_analysis.rooms[].features	physical_attributes		7/300	array[]/array[str]
floor_plan_analysis.rooms[].level	physical_attributes		7/300	str
floor_plan_analysis.rooms[].notes	physical_attributes		7/300	str
floor_plan_analysis.rooms[].room_name	physical_attributes		7/300	str
floor_plan_analysis.rooms[].room_type	physical_attributes		7/300	str
floor_plan_analysis.total_floor_area	physical_attributes		7/300	object
floor_plan_analysis.total_floor_area.confidence	physical_attributes		7/300	str
floor_plan_analysis.total_floor_area.notes	physical_attributes		7/300	str
floor_plan_analysis.total_floor_area.unit	physical_attributes		7/300	null/str
floor_plan_analysis.total_floor_area.value	physical_attributes		7/300	int/null
floor_plan_analysis.total_land_area	physical_attributes		7/300	object
floor_plan_analysis.total_land_area.confidence	physical_attributes		7/300	str
floor_plan_analysis.total_land_area.notes	physical_attributes		7/300	str
floor_plan_analysis.total_land_area.unit	physical_attributes		7/300	null/str
floor_plan_analysis.total_land_area.value	physical_attributes		7/300	int/null
floor_plans	images_assets	floor_plan	18/300	array[]/array[str]
floor_plans_original	images_assets	floor_plan	18/300	array[]/array[str]
floor_plans_oth_extracted	images_assets	floor_plan	1/300	array[str]
floor_plans_oth_extracted_at	images_assets	floor_plan	1/300	datetime
floor_plans_v2_classifier	images_assets	floor_plan	245/300	object
floor_plans_v2_classifier.candidates	images_assets	floor_plan	245/300	array[object]
floor_plans_v2_classifier.candidates[].of_total	images_assets	floor_plan	245/300	int
floor_plans_v2_classifier.candidates[].position	images_assets	floor_plan	245/300	int
floor_plans_v2_classifier.candidates[].raw	images_assets	floor_plan	245/300	str
floor_plans_v2_classifier.candidates[].source	images_assets	floor_plan	9/300	str
floor_plans_v2_classifier.candidates[].url	images_assets	floor_plan	245/300	str
floor_plans_v2_classifier.candidates[].verdict	images_assets	floor_plan	245/300	str
floor_plans_v2_classifier.candidates_classified	images_assets	floor_plan	245/300	int
floor_plans_v2_classifier.model	images_assets	floor_plan	245/300	str
floor_plans_v2_classifier.tail_n	images_assets	floor_plan	245/300	str
floor_plans_v2_classifier.total_images	images_assets	floor_plan	245/300	int
floor_plans_v2_classifier.unique_images	images_assets	floor_plan	245/300	int
floor_plans_v2_classifier.version	images_assets	floor_plan	245/300	str
floor_plans_v2_extracted	images_assets	floor_plan	245/300	array[]/array[str]
floor_plans_v2_extracted_at	images_assets	floor_plan	245/300	datetime
fullres_at	other		2/300	str
fullres_count	other		2/300	int
fullres_localized	other		2/300	bool
geocoded_coordinates	identity_location		4/300	object
geocoded_coordinates.display_name	identity_location		3/300	str
geocoded_coordinates.geocoded_at	identity_location		4/300	datetime
geocoded_coordinates.latitude	identity_location		4/300	float
geocoded_coordinates.longitude	identity_location		4/300	float
geocoded_coordinates.source	identity_location		4/300	str
georeference_data	identity_location		15/300	object
georeference_data.calculation_method	identity_location		15/300	str
georeference_data.coordinates	identity_location		15/300	object
georeference_data.coordinates.latitude	identity_location		15/300	float
georeference_data.coordinates.longitude	identity_location		15/300	float
georeference_data.distances	identity_location		15/300	object
georeference_data.distances.airport	identity_location		15/300	object
georeference_data.distances.airport.coordinates	identity_location		15/300	object
georeference_data.distances.airport.coordinates.latitude	identity_location		15/300	float
georeference_data.distances.airport.coordinates.longitude	identity_location		15/300	float
georeference_data.distances.airport.distance_km	identity_location		15/300	float
georeference_data.distances.airport.distance_meters	identity_location		15/300	int
georeference_data.distances.airport.name	identity_location		15/300	str
georeference_data.distances.beaches	identity_location		15/300	array[object]
georeference_data.distances.beaches[].coordinates	identity_location		15/300	object
georeference_data.distances.beaches[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.beaches[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.beaches[].distance_km	identity_location		15/300	float
georeference_data.distances.beaches[].distance_meters	identity_location		15/300	int
georeference_data.distances.beaches[].name	identity_location		15/300	str
georeference_data.distances.childcare_centers	identity_location		12/300	array[]
georeference_data.distances.hospitals	identity_location		15/300	array[object]
georeference_data.distances.hospitals[].coordinates	identity_location		15/300	object
georeference_data.distances.hospitals[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.hospitals[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.hospitals[].distance_km	identity_location		15/300	float
georeference_data.distances.hospitals[].distance_meters	identity_location		15/300	int
georeference_data.distances.hospitals[].name	identity_location		15/300	str
georeference_data.distances.hospitals[].place_id	identity_location		12/300	str
georeference_data.distances.hospitals[].rating	identity_location		12/300	float/null
georeference_data.distances.hospitals[].user_ratings_total	identity_location		12/300	int
georeference_data.distances.medical_centers	identity_location		12/300	array[]
georeference_data.distances.parks	identity_location		15/300	array[object]
georeference_data.distances.parks[].coordinates	identity_location		15/300	object
georeference_data.distances.parks[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.parks[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.parks[].distance_km	identity_location		15/300	float
georeference_data.distances.parks[].distance_meters	identity_location		15/300	int
georeference_data.distances.parks[].name	identity_location		15/300	str
georeference_data.distances.parks[].place_id	identity_location		12/300	str
georeference_data.distances.parks[].rating	identity_location		12/300	float/int/null
georeference_data.distances.parks[].user_ratings_total	identity_location		12/300	int
georeference_data.distances.pharmacies	identity_location		12/300	array[object]
georeference_data.distances.pharmacies[].coordinates	identity_location		12/300	object
georeference_data.distances.pharmacies[].coordinates.latitude	identity_location		12/300	float
georeference_data.distances.pharmacies[].coordinates.longitude	identity_location		12/300	float
georeference_data.distances.pharmacies[].distance_km	identity_location		12/300	float
georeference_data.distances.pharmacies[].distance_meters	identity_location		12/300	int
georeference_data.distances.pharmacies[].name	identity_location		12/300	str
georeference_data.distances.pharmacies[].place_id	identity_location		12/300	str
georeference_data.distances.pharmacies[].rating	identity_location		12/300	float
georeference_data.distances.pharmacies[].user_ratings_total	identity_location		12/300	int
georeference_data.distances.primary_schools	identity_location		15/300	array[object]
